,n,L,A,As,B,Bs,C,Cs,D,Ds,E,Es,F,Fs
S. alata,59,5,55,6,29,4,22,3,14,2,20,2,36,5
S. flava,90,7,77,8,29,5,18,2,14,2,25,3,52,6
S. leucophylla,44,4,51,6,19,3,21,3,12,2,21,3,30,4
S. minor,46,5,45,6,18,3,11,2,8,1,15,2,30,5
S. oreophila,16,3,47,3,15,1,19,1,10,1,20,1,27,3
S. psittacina,61,5,38,4,16,2,9,1,8,1,12,2,26,3
S. purpurea ssp. purpurea,31,6,44,5,19,3,13,2,10,2,15,1,29,4
S. purpurea ss. venosa,67,8,60,6,30,4,18,2,15,2,20,2,40,5
S. rubra ssp. rubra,63,7,31,4,16,3,9,1,4,1,10,1,21,3
S. rubra ssp. alabamensis,46,6,34,4,18,3,10,2,5,1,11,1,23,3
S. rubra ssp. gulfensis,24,4,35,4,19,2,11,1,7,1,12,2,24,3
S. rubra ssp. jonesii,59,5,36,3,18,2,11,1,5,1,12,1,24,3
S. rubra ssp. jonesii f. viridescens,18,2,34,3,18,3,10,1,4,1,12,1,22,3
S. rubra ssp. wherryi,63,7,35,4,19,3,12,1,6,1,13,1,22,3
